1. (Autism-Education) Autism-Education, (relation) undergoes, (Outcome-Measure) Autism-Attitude-Scale-for-Teachers
2941. (Intervention) Direct-Teaching-Strategies, (relation) listed-in, (Instance) STAR-Curriculum
2942. (Instance) 2017-Xu-Yao-Study, (relation) involves, (Learner-Infant-Toddler) 40-Preschoolers-with-ASD
2943. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Social-Stories-PET-Program
2944. (Intervention) Project-DATA, (relation) listed-in, (Instance) Project-DATA-Development-Public-Schools
2945. (Intervention) Video-Modeling, (relation) references, (Guideline-Environment-Setup) Setup-Table-And-Chairs-Near-Video-Screen
2946. (Intervention) UCLA-PEERS-Program, (relation) leads-to, (Effect-Other) Social-Improvements-Over-Time
2947. (Intervention) Identity-First-Language, (relation) leads-to, (Effect-Cognitive) Recognition-Of-Autistic-Identity-As-Integral
2948. (Intervention) Positive-Behavior-Support-PBS, (relation) leads-to, (Effect-Behavioral) Reduction-In-Problem-Behaviors
2949. (Educator) Occupational-Therapists, (relation) faces, (Challenge) Limited-Evidence-Supporting-SIT-Despite-Frequent-Use
2950. (Intervention) SIT, (relation) references, (Guideline-Environment-Setup) Sensory-Diet
2951. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Social-Support) Self-Monitoring-Method-Or-Device
2952. (Intervention) TEACCH, (relation) references, (Guideline-Communication-Style) Visual-Schedules
2953. (Intervention) Lovaas-Model, (relation) leads-to, (Effect-Language) Remarkable-Gains-in-Language
2954. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Communication-Style) Role-Play
2955. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Environment-Setup) use-of-adventurous-activities
2956. (Instance) 2009-Rogers-Dawson-Study[N=unknown], (relation) involves, (Learner-Infant-Toddler) young-children-with-ASD
2957. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Positive-Reinforcement) structured-teaching-episodes
2958. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Positive-Reinforcement) use-of-rewards-to-shape-behavior
2959. (Symptom-Type-Stereotyped-Behaviors) flapping-hands, (relation) determines, (Intervention) EIBI
2960. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Competent-Learner-Model
2961. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Routine) physical-structure-and-organization-of-events
2962. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Social-Support) relationship-between-child-and-education-professionals-is-crucial
2963. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Interest-Guidance) meeting-the-child's-initiative-and-interests
2964. (Instance) 1987-UCLA-Study[N=Unknown], (relation) involves, (Learner-School-Aged) Children-With-ASD
2965. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Robot-Assisted-Therapy
2966. (Learner-School-Aged) children-and-youth-with-ASD, (relation) obtains, (Effect-Behavioral) improved-outcomes-when-using-evidence-based-practices
2967. (Intervention) special-education, (relation) leads-to, (Effect-Other) enhanced-social-play-and-self-care-skills
2968. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Emotional-Support) assessment-of-emotion-regulation-and-emotion-dysregulation
2969. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Interest-Guidance) Encouragement-To-Participate-In-Class-Activities
2970. (Intervention) Early-Intensive-Behavioral-Intervention, (relation) leads-to, (Effect-Behavioral) maximized-independence
2971. (Symptom-Type-Social-Communication-Deficit) social-communication-delays, (relation) determines, (Intervention) additional-educational-support
2972. (Instance) 2017-Infant-Toddler-Study(N=12), (relation) involves, (Learner-Infant-Toddler) infant-siblings-of-ASD-probands
2973. (Learner-Infant-Toddler) children-aged-3y4mo-to-7y4mo-diagnosed-with-ASD, (relation) exhibits, (Symptom-Type-Social-Communication-Deficit) socio-communicative-impairments
2974. (Intervention) non-pharmacological-interventions, (relation) references, (Guideline-Emotional-Support) assessment-of-emotion-regulation-and-emotion-dysregulation
2975. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Social-Stories
2976. (Institution) The-National-Autistic-Society-NAS, (relation) affiliated-with, (Guideline-Communication-Style) parent-education-programs
2977. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Emotional-Support) emotion-recognition-training
2978. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Routine) predictable-classroom-routines
2979. (Learner-School-Aged) 7-children-aged-10-13, (relation) exhibits, (Symptom-Type-Stereotyped-Behaviors) repetitive-and-stereotypic-behaviors
2980. (Learner-School-Aged) School-Age-Children, (relation) obtains, (Effect-Behavioral) associated-with-parenting-stress-and-increased-stress-in-parents
2981. (Intervention) DHSCP, (relation) leads-to, (Effect-Cognitive) significant-gains-in-cognition
2982. (Intervention) Early-Intensive-Behavior-Analytic-Treatment, (relation) listed-in, (Instance) 1987-Lovaas-Study
2983. (Instance) Wong-Review-2014, (relation) involves, (Learner-School-Aged) adolescents-with-ASD
2984. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Communication-Style) verbal-combined-with-gestures
2985. (Instance) Naturalistic-Follow-Up-Study-N=120, (relation) undergoes, (Outcome-Measure) Peer-Relationship-Outcome
2986. (Intervention) Pivotal-Response-Training, (relation) leads-to, (Effect-Cognitive) strong-empirical-support
2987. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Interest-Guidance) cooperative-learning
2988. (Guideline-Other) Eclectic-Intervention, (relation) faces, (Challenge) variability-in-intervention-provision
2989. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Schoolwide-Positive-Behavior-Support
2990. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Environment-Setup) minimize-confusing-instruction-interactions
2991. (Intervention) EIBI, (relation) references, (Guideline-Social-Support) impaired-reciprocal-social-communication
2992. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Communication-Style) alternative-forms-of-communication
2993. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Applied-Behavior-Analysis
2994. (Institution) Autism-Society-Of-America, (relation) provides, (Guideline-Communication-Style) awareness-of-individualized-autism-traits-and-spectrum-disorder-variations
2995. (Effect-Behavioral) inclusion-into-regular-education, (relation) influences, (Educator) teachers-attitudes
2996. (Intervention) LEAP, (relation) leads-to, (Effect-Language) significant-improvements-in-language-measures
2997. (Intervention) Parental-Training-Intervention, (relation) leads-to, (Effect-Other) improved-emotional-regulation
2998. (Intervention) Robot-Mediated-Intervention, (relation) listed-in, (Instance) Literature-Review-Study
2999. (Intervention) Picture-Exchange-Communication-System, (relation) supported-by, (Related-Research) reported-effectiveness-in-increasing-communicative-interactions
3000. (Symptom-Type-Social-Communication-Deficit) social-validation-disconnect, (relation) determines, (Intervention) ABA
3001. (Institution) EMBASE, (relation) affiliated-with, (Intervention) Robot-Assisted-Therapy
3002. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Routine) teaching-adaptive-and-appropriate-behaviors
3003. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Positive-Reinforcement) teaching-new-skills
3004. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Comprehensive-Autism-Planning-System
3005. (Educator) therapists, (relation) teaches, (Learner-Infant-Toddler) children-with-autism-spectrum-disorders
3006. (Intervention) Holding-Therapy, (relation) faces, (Challenge) lack-of-efficacy-and-potential-harm
3007. (Instance) 2001-Eikeseth-Smith-Group-Comparison-Study[N=Unknown], (relation) involves, (Learner-Infant-Toddler) 4-to-7-year-olds
3008. (Intervention) Child-Choice, (relation) references, (Guideline-Routine) selection-of-stimulus-materials
3009. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Video-Modeling
3010. (Intervention) SAC-approach, (relation) leads-to, (Effect-Behavioral) reduced-staff-stress-levels
3011. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Functional-Communication-Training-FCT
3012. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Video-Modeling
3013. (Instance) 2001-Eikeseth-Smith-Group-Comparison-Study, (relation) involves, (Learner-Infant-Toddler) 4-to-7-year-olds
3014. (Intervention) SAC-approach, (relation) leads-to, (Effect-Behavioral) reduced-staff-stress-levels
3015. (Educator) parents, (relation) faces, (Challenge) higher-levels-of-stress
3016. (Instance) 2023-Experiment, (relation) involves, (Learner-School-Aged) students-with-ASD
3017. (Intervention) artificial-intelligence-assisted-teaching, (relation) leads-to, (Effect-Other) improved-participation-in-educational-opportunities
3018. (Intervention) Lovaas, (relation) listed-in, (Instance) 2023-UK-Study
3019. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Comprehensive-Treatment-Models
3020. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) FloorTime
3021. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) SCERTS-model
3022. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) early-intensive-behavior-analysis
3023. (Intervention) Specialized-Autism-Placement, (relation) faces, (Challenge) historical-assumptions-favoring-restrictive-settings
3024. (Outcome-Measure) Autism-Diagnostic-Interview-Revised, (relation) shows, (Effect-Other) Presence-of-Restricted-Repetitive-Behaviors-and-Interests
3025. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Distance-Educational-Programs-for-Parents
3026. (Intervention) Virtual-Reality, (relation) leads-to, (Effect-Behavioral) improved-independence
3027. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) Structured-Work-Systems
3028. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Routine) structured-teaching
3029. (Learner-School-Aged) Children-with-ASD, (relation) exhibits, (Symptom-Type-Social-Communication-Deficit) Lack-of-Communication-Skills
3030. (Learner-Infant-Toddler) Children-with-ASD-aged-3-to-5-years, (relation) undergoes, (Outcome-Measure) Mullen-Scales-of-Early-Learning
3031. (Instance) 2023-Connecticut-Study-N=5, (relation) undergoes, (Outcome-Measure) percentage-correct-urinations
3032. (Autism-Education) Autism-Education, (relation) professional-education, (Intervention) TEACCH
3033. (Educator) parents-clinicians, (relation) faces, (Challenge) increased-demand-for-individual-support
3034. (Institution) MADSEC-Autism-Taskforce, (relation) affiliated-with, (Educator) behavior-analysts
3035. (Learner-School-Aged) young-children-with-ASD, (relation) exhibits, (Symptom-Type-Social-Communication-Deficit) impairment-in-social-reciprocity
3036. (Intervention) Focused-Intervention-Practices, (relation) leads-to, (Effect-Language) improved-communication-skills
3037. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Positive-Reinforcement) rewarding-students-after-successful-completion-of-a-task
3038. (Educator) parents, (relation) faces, (Challenge) high-levels-of-parental-stress
3039. (Instance) 2002-Eikeseth-Study, (relation) involves, (Learner-Infant-Toddler) Children-Aged-4-7-Years
3040. (Intervention) Pivotal-Response-Training, (relation) leads-to, (Effect-Behavioral) enhanced-language-play-and-social-behavior
3041. (Autism-Education) Autism-Education, (relation) daily-education, (Guideline-Environment-Setup) whole-group-teaching-cooperative-learning-individual-instruction-tutoring-priority-seating-for-attention
3042. (Intervention) Division-TEACCH, (relation) references, (Guideline-Environment-Setup) structured-teaching
3043. (Guideline-Environment-Setup) structured-and-predictable-learning-environment, (relation) referenced-in, (Intervention) TEACCH
